type,gender,vage,age,ageg,region,num,cost
B,F,1,18,1,OH,20,33973.4
B,F,1,18,1,IN,2,2167.5
B,F,1,18,1,WI,2,2082.5
B,F,1,18,1,IL,0,0
B,F,1,19,1,OH,23,36339.2
B,F,1,19,1,IN,2,3315
B,F,1,19,1,WI,1,1700
B,F,1,19,1,MI,1,1190
B,F,1,19,1,IL,2,5534.35
B,F,1,20,1,OH,63,279906.05
B,F,1,20,1,IN,9,6736.5
B,F,1,20,1,WI,5,9685.75
B,F,1,20,1,MI,1,693
B,F,1,20,1,IL,5,4200.7
B,F,1,21,2,OH,136,314835.8
B,F,1,21,2,IN,16,24184.57
B,F,1,21,2,WI,16,38660.91
B,F,1,21,2,MI,4,2335
B,F,1,21,2,IL,5,3179
B,F,1,22,2,OH,263,701111.63
B,F,1,22,2,IN,24,26821.5
B,F,1,22,2,WI,3,4508.5
B,F,1,22,2,MI,3,18782.45
B,F,1,22,2,IL,12,24921.92
B,F,1,23,2,OH,329,882539.79
B,F,1,23,2,IN,52,159528.5
B,F,1,23,2,WI,7,15576.75
B,F,1,23,2,MI,8,4169.25
B,F,1,23,2,IL,23,32462.23
B,F,1,24,2,OH,377,837600.45
B,F,1,24,2,IN,63,200126.15
B,F,1,24,2,WI,11,17825.1
B,F,1,24,2,MI,8,10468.85
B,F,1,24,2,IL,27,38827.5
B,F,1,25,2,OH,459,1064388.06
B,F,1,25,2,IN,93,218486
B,F,1,25,2,WI,25,97963.15
B,F,1,25,2,MI,7,9563.35
B,F,1,25,2,IL,30,31009.75
B,F,1,26,3,OH,575,1170950.07
B,F,1,26,3,IN,78,116747.8
B,F,1,26,3,WI,34,78014.65
B,F,1,26,3,MI,15,19566.15
B,F,1,26,3,IL,39,84280.95
B,F,1,27,3,OH,746,1502383.35
B,F,1,27,3,IN,121,173494.3
B,F,1,27,3,WI,25,37975.65
B,F,1,27,3,MI,8,8755
B,F,1,27,3,IL,40,34071.23
B,F,1,28,3,OH,696,1695062.9
B,F,1,28,3,IN,106,120248.71
B,F,1,28,3,WI,52,75569.85
B,F,1,28,3,MI,7,9665.05
B,F,1,28,3,IL,59,116296.65
B,F,1,29,3,OH,666,1564819.84
B,F,1,29,3,IN,74,94077.5
B,F,1,29,3,WI,51,207627.97
B,F,1,29,3,MI,9,5924
B,F,1,29,3,IL,55,69581.93
B,F,1,30,3,OH,617,1347874.65
B,F,1,30,3,IN,69,95220
B,F,1,30,3,WI,50,119803.95
B,F,1,30,3,MI,2,3400
B,F,1,30,3,IL,33,54169.65
B,F,1,31,4,OH,566,1254513.7
B,F,1,31,4,IN,87,140347.3
B,F,1,31,4,WI,17,26820.15
B,F,1,31,4,MI,8,10996.45
B,F,1,31,4,IL,37,83739.88
B,F,1,32,4,OH,506,1219428.1
B,F,1,32,4,IN,79,336223.25
B,F,1,32,4,WI,25,39509.53
B,F,1,32,4,MI,7,12721.55
B,F,1,32,4,IL,42,44987.5
B,F,1,33,4,OH,460,1325121.88
B,F,1,33,4,IN,50,71382.85
B,F,1,33,4,WI,23,31300.98
B,F,1,33,4,MI,10,11869.4
B,F,1,33,4,IL,35,162714.65
B,F,1,34,4,OH,397,1315563.43
B,F,1,34,4,IN,57,72063.45
B,F,1,34,4,WI,25,38553.45
B,F,1,34,4,MI,8,7324.55
B,F,1,34,4,IL,38,88523.26
B,F,1,35,4,OH,425,1449023.31
B,F,1,35,4,IN,53,104034.9
B,F,1,35,4,WI,23,63723.5
B,F,1,35,4,MI,9,10412.5
B,F,1,35,4,IL,50,68801.55
B,F,1,36,4,OH,384,1015507.15
B,F,1,36,4,IN,49,58880
B,F,1,36,4,WI,18,61105.65
B,F,1,36,4,MI,8,5306.05
B,F,1,36,4,IL,40,56592.86
B,F,1,37,4,OH,364,749158.79
B,F,1,37,4,IN,60,74843.35
B,F,1,37,4,WI,22,60242.05
B,F,1,37,4,MI,7,6239
B,F,1,37,4,IL,49,97805.94
B,F,1,38,4,OH,363,820684.68
B,F,1,38,4,IN,38,118792.25
B,F,1,38,4,WI,12,25759.65
B,F,1,38,4,MI,6,8593.75
B,F,1,38,4,IL,27,36079.95
B,F,1,39,4,OH,291,893276.58
B,F,1,39,4,IN,48,59607.5
B,F,1,39,4,WI,18,108955.55
B,F,1,39,4,MI,6,5075.35
B,F,1,39,4,IL,38,36855.57
B,F,1,40,4,OH,353,775598.38
B,F,1,40,4,IN,12,39999.5
B,F,1,40,4,WI,10,16025.05
B,F,1,40,4,MI,6,6333.35
B,F,1,40,4,IL,24,23124.28
B,F,1,41,5,OH,316,940404.27
B,F,1,41,5,IN,18,318970
B,F,1,41,5,WI,15,50166.93
B,F,1,41,5,MI,8,20819.9
B,F,1,41,5,IL,34,68180.16
B,F,1,42,5,OH,263,928013.1
B,F,1,42,5,IN,32,97508.75
B,F,1,42,5,WI,7,98967.85
B,F,1,42,5,MI,11,74090.25
B,F,1,42,5,IL,41,39055.11
B,F,1,43,5,OH,206,632057.64
B,F,1,43,5,IN,19,34691.25
B,F,1,43,5,WI,5,17394.4
B,F,1,43,5,MI,3,4505
B,F,1,43,5,IL,19,28509.43
B,F,1,44,5,OH,150,450818.46
B,F,1,44,5,IN,11,11591.5
B,F,1,44,5,WI,5,6953
B,F,1,44,5,MI,2,1020
B,F,1,44,5,IL,31,40925.78
B,F,1,45,5,OH,202,436044.79
B,F,1,45,5,IN,13,16480
B,F,1,45,5,WI,8,9370.5
B,F,1,45,5,MI,6,7624.5
B,F,1,45,5,IL,26,47166.5
B,F,1,46,5,OH,191,517975.43
B,F,1,46,5,IN,15,44932
B,F,1,46,5,WI,8,12406.6
B,F,1,46,5,MI,11,12029.05
B,F,1,46,5,IL,16,20401.81
B,F,1,47,5,OH,209,575303.19
B,F,1,47,5,IN,21,367933.5
B,F,1,47,5,WI,10,50796
B,F,1,47,5,MI,5,18633.7
B,F,1,47,5,IL,19,32184.4
B,F,1,48,5,OH,167,580944.1
B,F,1,48,5,IN,10,11245.5
B,F,1,48,5,WI,6,6036.05
B,F,1,48,5,MI,4,15566.9
B,F,1,48,5,IL,10,16020.8
B,F,1,49,5,OH,125,263403.36
B,F,1,49,5,IN,10,9487.4
B,F,1,49,5,WI,2,2167.5
B,F,1,49,5,MI,3,3867.5
B,F,1,49,5,IL,14,12864.75
B,F,1,50,5,OH,123,274817.1
B,F,1,50,5,IN,4,2975
B,F,1,50,5,WI,3,2557.5
B,F,1,50,5,MI,1,425
B,F,1,50,5,IL,6,4683.5
B,F,1,51,6,OH,87,175777.75
B,F,1,51,6,IN,16,82602.5
B,F,1,51,6,WI,0,0
B,F,1,51,6,MI,4,2380
B,F,1,51,6,IL,6,5561.25
B,F,1,52,6,OH,119,345164.3
B,F,1,52,6,IN,16,34505
B,F,1,52,6,WI,2,1122
B,F,1,52,6,MI,5,2728.5
B,F,1,52,6,IL,6,7775.3
B,F,1,53,6,OH,106,295404.68
B,F,1,53,6,IN,7,5957.5
B,F,1,53,6,WI,1,1870
B,F,1,53,6,MI,0,0
B,F,1,53,6,IL,10,10083.55
B,F,1,54,6,OH,84,602364.26
B,F,1,54,6,IN,5,2082.5
B,F,1,54,6,WI,2,4779.55
B,F,1,54,6,MI,2,2575.5
B,F,1,54,6,IL,3,1880.2
B,F,1,55,6,OH,65,94657.9
B,F,1,55,6,IN,13,17646
B,F,1,55,6,WI,6,9551.45
B,F,1,55,6,MI,0,0
B,F,1,55,6,IL,3,1785
B,F,1,56,6,OH,62,158354.15
B,F,1,56,6,IN,7,10750.75
B,F,1,56,6,WI,4,6043.5
B,F,1,56,6,MI,0,0
B,F,1,56,6,IL,4,9167.25
B,F,1,57,6,OH,37,156288.95
B,F,1,57,6,IN,4,16447.5
B,F,1,57,6,MI,0,0
B,F,1,57,6,IL,1,756.5
B,F,1,58,6,OH,40,163760.92
B,F,1,58,6,IN,5,2674.58
B,F,1,58,6,WI,0,0
B,F,1,58,6,MI,0,0
B,F,1,58,6,IL,6,5718.3
B,F,1,59,6,OH,43,162746.45
B,F,1,59,6,IN,7,6327
B,F,1,59,6,MI,0,0
B,F,1,59,6,IL,1,763.3
B,F,1,60,6,OH,21,72807.82
B,F,1,60,6,IN,5,22702.5
B,F,1,60,6,IL,0,0
B,F,1,61,7,OH,18,55188.8
B,F,1,61,7,IN,4,3456.5
B,F,1,61,7,IL,1,289
B,F,1,62,7,OH,13,33959.2
B,F,1,62,7,IN,8,10125
B,F,1,62,7,IL,0,0
B,F,1,63,7,OH,14,25102.2
B,F,1,63,7,IN,3,1623
B,F,1,63,7,IL,2,875.5
B,F,1,64,7,OH,9,20961.85
B,F,1,64,7,IN,0,0
B,F,1,65,7,OH,10,18672.85
B,F,1,65,7,IN,0,0
B,F,1,66,7,OH,4,53584
B,F,1,66,7,IN,3,3187.5
B,F,1,66,7,MI,0,0
B,F,1,66,7,IL,0,0
B,F,1,67,7,OH,11,43023.6
B,F,1,67,7,IL,0,0
B,F,1,68,7,OH,7,16154.25
B,F,1,68,7,IN,3,7293
B,F,1,69,7,OH,4,2890
B,F,1,69,7,IN,1,850
B,F,1,70,7,OH,20,27833.7
B,F,1,70,7,IN,0,0
B,F,1,70,7,IL,1,2018.75
B,M,1,18,1,OH,55,138878.75
B,M,1,18,1,IN,6,3576
B,M,1,18,1,WI,4,8908
B,M,1,18,1,MI,3,1878.5
B,M,1,18,1,IL,4,7376.47
B,M,1,19,1,OH,97,179787.56
B,M,1,19,1,IN,14,16873
B,M,1,19,1,WI,9,10489.75
B,M,1,19,1,MI,6,43923.92
B,M,1,19,1,IL,1,5372
B,M,1,20,1,OH,198,953413.75
B,M,1,20,1,IN,30,37487.5
B,M,1,20,1,WI,4,230921
B,M,1,20,1,MI,4,2335.8
B,M,1,20,1,IL,4,14220.5
B,M,1,21,2,OH,259,796888.58
B,M,1,21,2,IN,23,32941
B,M,1,21,2,WI,8,12295.7
B,M,1,21,2,MI,8,5678
B,M,1,21,2,IL,11,21502.79
B,M,1,22,2,OH,439,1559911.66
B,M,1,22,2,IN,75,184894.41
B,M,1,22,2,WI,12,50129.75
B,M,1,22,2,MI,10,7852.97
B,M,1,22,2,IL,14,89379.55
B,M,1,23,2,OH,545,1529451.97
B,M,1,23,2,IN,121,340099.75
B,M,1,23,2,WI,18,26010.85
B,M,1,23,2,MI,16,15263.45
B,M,1,23,2,IL,35,83263.38
B,M,1,24,2,OH,672,1600962.93
B,M,1,24,2,IN,119,473098.63
B,M,1,24,2,WI,29,63642.05
B,M,1,24,2,MI,18,59765.05
B,M,1,24,2,IL,36,60236.1
B,M,1,25,2,OH,699,1813992.56
B,M,1,25,2,IN,92,145557
B,M,1,25,2,WI,45,61595.29
B,M,1,25,2,MI,15,26715.8
B,M,1,25,2,IL,35,45793.7
B,M,1,26,3,OH,818,2276212.49
B,M,1,26,3,IN,153,238393.18
B,M,1,26,3,WI,41,104244.7
B,M,1,26,3,MI,30,53910.3
B,M,1,26,3,IL,38,97263.43
B,M,1,27,3,OH,1019,2182685.27
B,M,1,27,3,IN,170,334434.95
B,M,1,27,3,WI,70,96514.6
B,M,1,27,3,MI,16,10742.93
B,M,1,27,3,IL,81,144624.23
B,M,1,28,3,OH,1181,2450583.8
B,M,1,28,3,IN,208,294566.23
B,M,1,28,3,WI,77,101303.2
B,M,1,28,3,MI,15,22367.55
B,M,1,28,3,IL,78,97788.03
B,M,1,29,3,OH,1131,2667565.43
B,M,1,29,3,IN,139,345818.65
B,M,1,29,3,WI,96,219230.57
B,M,1,29,3,MI,11,9469
B,M,1,29,3,IL,83,244072.11
B,M,1,30,3,OH,1076,2557449.2
B,M,1,30,3,IN,132,182454.95
B,M,1,30,3,WI,88,169423.95
B,M,1,30,3,MI,19,13193.45
B,M,1,30,3,IL,44,57876.85
B,M,1,31,4,OH,1022,2064372.3
B,M,1,31,4,IN,118,218787.48
B,M,1,31,4,WI,94,236026.41
B,M,1,31,4,MI,18,11522.6
B,M,1,31,4,IL,70,161265.34
B,M,1,32,4,OH,1064,2252635.99
B,M,1,32,4,IN,136,192792.68
B,M,1,32,4,WI,99,186970.95
B,M,1,32,4,MI,13,14519.7
B,M,1,32,4,IL,73,112380.3
B,M,1,33,4,OH,892,2091028.14
B,M,1,33,4,IN,136,242665.1
B,M,1,33,4,WI,72,104184.1
B,M,1,33,4,MI,18,15198.8
B,M,1,33,4,IL,47,96197.46
B,M,1,34,4,OH,744,1850194.92
B,M,1,34,4,IN,105,348517.73
B,M,1,34,4,WI,86,168381.2
B,M,1,34,4,MI,20,28546.3
B,M,1,34,4,IL,65,95811.8
B,M,1,35,4,OH,734,2143231.54
B,M,1,35,4,IN,98,130694.53
B,M,1,35,4,WI,66,166724.6
B,M,1,35,4,MI,10,8093.2
B,M,1,35,4,IL,97,127734
B,M,1,36,4,OH,823,1996007.3
B,M,1,36,4,IN,105,169655.9
B,M,1,36,4,WI,36,42518.55
B,M,1,36,4,MI,16,217185.15
B,M,1,36,4,IL,90,141031.3
B,M,1,37,4,OH,742,1731034.55
B,M,1,37,4,IN,82,199100.83
B,M,1,37,4,WI,62,91207.65
B,M,1,37,4,MI,15,15726.5
B,M,1,37,4,IL,98,231273.6
B,M,1,38,4,OH,742,2305691.64
B,M,1,38,4,IN,80,159312.65
B,M,1,38,4,WI,64,89818.1
B,M,1,38,4,MI,17,100912.85
B,M,1,38,4,IL,95,251079.82
B,M,1,39,4,OH,716,2004324.44
B,M,1,39,4,IN,79,446361.9
B,M,1,39,4,WI,47,68186.5
B,M,1,39,4,MI,13,20955.05
B,M,1,39,4,IL,73,157403.59
B,M,1,40,4,OH,684,1689999.44
B,M,1,40,4,IN,87,157238.46
B,M,1,40,4,WI,44,164332.65
B,M,1,40,4,MI,11,58048.65
B,M,1,40,4,IL,78,107003.08
B,M,1,41,5,OH,608,1689604.43
B,M,1,41,5,IN,68,106730.42
B,M,1,41,5,WI,42,188942.55
B,M,1,41,5,MI,14,8632.8
B,M,1,41,5,IL,66,90715.22
B,M,1,42,5,OH,555,1696124.18
B,M,1,42,5,IN,83,167493.57
B,M,1,42,5,WI,69,214333.06
B,M,1,42,5,MI,11,14256.42
B,M,1,42,5,IL,54,156641.05
B,M,1,43,5,OH,445,1408525.29
B,M,1,43,5,IN,74,131914.75
B,M,1,43,5,WI,15,21963.15
B,M,1,43,5,MI,11,15515.9
B,M,1,43,5,IL,39,92982.75
B,M,1,44,5,OH,460,1571233.51
B,M,1,44,5,IN,45,54617.13
B,M,1,44,5,WI,34,85526.04
B,M,1,44,5,MI,15,59133.65
B,M,1,44,5,IL,36,93319.95
B,M,1,45,5,OH,514,1226567.02
B,M,1,45,5,IN,65,421590.05
B,M,1,45,5,WI,43,137248.55
B,M,1,45,5,MI,9,14742.55
B,M,1,45,5,IL,53,93246.65
B,M,1,46,5,OH,551,2089149.72
B,M,1,46,5,IN,58,116355
B,M,1,46,5,WI,29,282124.95
B,M,1,46,5,MI,15,29181.25
B,M,1,46,5,IL,67,110731.3
B,M,1,47,5,OH,519,1593549.74
B,M,1,47,5,IN,61,340761.3
B,M,1,47,5,WI,20,23623.8
B,M,1,47,5,MI,8,18956.7
B,M,1,47,5,IL,48,58385.05
B,M,1,48,5,OH,328,930791.27
B,M,1,48,5,IN,38,47984.9
B,M,1,48,5,WI,16,21846.46
B,M,1,48,5,MI,10,31845.25
B,M,1,48,5,IL,36,69787.35
B,M,1,49,5,OH,298,1171576.85
B,M,1,49,5,IN,40,81810.43
B,M,1,49,5,WI,1,1462
B,M,1,49,5,MI,15,19287.35
B,M,1,49,5,IL,20,50630.31
B,M,1,50,5,OH,252,440750.62
B,M,1,50,5,IN,30,38311
B,M,1,50,5,WI,7,73166.35
B,M,1,50,5,MI,7,3485
B,M,1,50,5,IL,19,31133.8
B,M,1,51,6,OH,214,353427.44
B,M,1,51,6,IN,25,49063
B,M,1,51,6,WI,6,14809.65
B,M,1,51,6,MI,8,13602.55
B,M,1,51,6,IL,23,48539.4
B,M,1,52,6,OH,226,406970.5
B,M,1,52,6,IN,20,26104.1
B,M,1,52,6,WI,14,22156.95
B,M,1,52,6,MI,13,16774.25
B,M,1,52,6,IL,22,46730.88
B,M,1,53,6,OH,226,424873.64
B,M,1,53,6,IN,27,23052
B,M,1,53,6,WI,8,7325.41
B,M,1,53,6,MI,4,5780
B,M,1,53,6,IL,15,21738.75
B,M,1,54,6,OH,288,571721.01
B,M,1,54,6,IN,35,74831
B,M,1,54,6,WI,6,9483.45
B,M,1,54,6,MI,8,13703.85
B,M,1,54,6,IL,24,151442.8
B,M,1,55,6,OH,203,288142.15
B,M,1,55,6,IN,20,22372
B,M,1,55,6,WI,9,20266.9
B,M,1,55,6,MI,7,6614.5
B,M,1,55,6,IL,11,10012
B,M,1,56,6,OH,187,455393
B,M,1,56,6,IN,19,28466.55
B,M,1,56,6,WI,1,910
B,M,1,56,6,MI,4,1853
B,M,1,56,6,IL,20,61066
B,M,1,57,6,OH,148,336602.59
B,M,1,57,6,IN,22,24446.1
B,M,1,57,6,WI,1,1400
B,M,1,57,6,MI,5,21029
B,M,1,57,6,IL,15,36611.2
B,M,1,58,6,OH,160,377381.58
B,M,1,58,6,IN,25,18495
B,M,1,58,6,WI,0,0
B,M,1,58,6,MI,1,850
B,M,1,58,6,IL,11,18324.3
B,M,1,59,6,OH,100,158459.35
B,M,1,59,6,IN,23,28937.75
B,M,1,59,6,WI,4,4269.55
B,M,1,59,6,MI,3,960.5
B,M,1,59,6,IL,6,2048.5
B,M,1,60,6,OH,120,295171.75
B,M,1,60,6,IN,19,17916
B,M,1,60,6,WI,2,1564
B,M,1,60,6,MI,4,7391.6
B,M,1,60,6,IL,6,5390.6
B,M,1,61,7,OH,58,103439.05
B,M,1,61,7,IN,8,6906.38
B,M,1,61,7,WI,0,0
B,M,1,61,7,MI,2,5252.15
B,M,1,61,7,IL,4,3790.5
B,M,1,62,7,OH,57,100329.75
B,M,1,62,7,IN,10,11882.5
B,M,1,62,7,WI,4,4063
B,M,1,62,7,MI,2,2771
B,M,1,62,7,IL,6,5974.11
B,M,1,63,7,OH,40,61150.7
B,M,1,63,7,IN,6,9571
B,M,1,63,7,IL,1,1530
B,M,1,64,7,OH,20,23550.95
B,M,1,64,7,IN,3,1925.25
B,M,1,64,7,WI,0,0
B,M,1,64,7,MI,0,0
B,M,1,64,7,IL,3,1647.5
B,M,1,65,7,OH,12,27064
B,M,1,65,7,IN,5,7140
B,M,1,65,7,WI,4,18357.4
B,M,1,65,7,IL,2,586.5
B,M,1,66,7,OH,21,50325.65
B,M,1,66,7,IN,2,1997.5
B,M,1,66,7,WI,1,2709.8
B,M,1,66,7,IL,0,0
B,M,1,67,7,OH,8,45171.55
B,M,1,67,7,IN,2,2037.5
B,M,1,67,7,IL,2,3932.5
B,M,1,68,7,OH,14,67284.75
B,M,1,68,7,IN,5,21256.8
B,M,1,68,7,IL,1,340
B,M,1,69,7,OH,10,19311.15
B,M,1,69,7,IN,1,1275
B,M,1,69,7,IL,1,1275
B,M,1,70,7,OH,31,107062.17
B,M,1,70,7,IN,5,4080
B,M,1,70,7,WI,1,1360
B,M,1,70,7,MI,0,0
B,M,1,70,7,IL,1,1513
C,F,1,18,1,OH,4,21547.35
C,F,1,18,1,IN,0,0
C,F,1,18,1,WI,1,1530
C,F,1,18,1,MI,0,0
C,F,1,19,1,OH,2,5346.5
C,F,1,19,1,IN,1,1785
C,F,1,19,1,WI,0,0
C,F,1,20,1,OH,5,6790.65
C,F,1,20,1,IN,0,0
C,F,1,20,1,WI,1,13379
C,F,1,20,1,IL,0,0
C,F,1,21,2,OH,21,41593.95
C,F,1,21,2,IN,2,4603
C,F,1,21,2,WI,2,2591.65
C,F,1,21,2,MI,0,0
C,F,1,22,2,OH,30,54327.16
C,F,1,22,2,IN,1,1020
C,F,1,22,2,WI,0,0
C,F,1,22,2,MI,1,425
C,F,1,22,2,IL,2,1275
C,F,1,23,2,OH,64,278967.05
C,F,1,23,2,IN,5,5850
C,F,1,23,2,WI,0,0
C,F,1,23,2,MI,1,6567.1
C,F,1,23,2,IL,1,297.5
C,F,1,24,2,OH,53,81056.55
C,F,1,24,2,IN,8,205942.5
C,F,1,24,2,WI,2,2975
C,F,1,24,2,MI,2,2301.8
C,F,1,24,2,IL,8,32544.38
C,F,1,25,2,OH,98,222775.7
C,F,1,25,2,IN,6,5661.51
C,F,1,25,2,WI,1,3833.5
C,F,1,25,2,MI,2,8024
C,F,1,25,2,IL,2,1700
C,F,1,26,3,OH,127,285405.9
C,F,1,26,3,IN,14,9746.5
C,F,1,26,3,WI,3,3740
C,F,1,26,3,MI,7,6749
C,F,1,26,3,IL,6,24688.45
C,F,1,27,3,OH,158,392882.3
C,F,1,27,3,IN,14,28161
C,F,1,27,3,WI,5,6524.6
C,F,1,27,3,MI,6,4785.5
C,F,1,27,3,IL,6,8289.2
C,F,1,28,3,OH,177,290293
C,F,1,28,3,IN,14,10640
C,F,1,28,3,WI,8,45887.35
C,F,1,28,3,MI,4,38828
C,F,1,28,3,IL,17,17964.22
C,F,1,29,3,OH,178,544030.51
C,F,1,29,3,IN,6,7442.9
C,F,1,29,3,WI,9,14984.95
C,F,1,29,3,MI,2,1615
C,F,1,29,3,IL,12,18932.05
C,F,1,30,3,OH,164,395361.25
C,F,1,30,3,IN,13,21051.75
C,F,1,30,3,WI,14,14979.65
C,F,1,30,3,MI,1,170
C,F,1,30,3,IL,6,5035.8
C,F,1,31,4,OH,132,210180.45
C,F,1,31,4,IN,12,21134.7
C,F,1,31,4,WI,3,2388.5
C,F,1,31,4,MI,2,4326.5
C,F,1,31,4,IL,8,4611.25
C,F,1,32,4,OH,128,260342.1
C,F,1,32,4,IN,11,19686.5
C,F,1,32,4,WI,3,10463.5
C,F,1,32,4,MI,0,0
C,F,1,32,4,IL,7,6103
C,F,1,33,4,OH,106,250953.54
C,F,1,33,4,IN,18,88251.25
C,F,1,33,4,WI,5,6081.75
C,F,1,33,4,MI,9,7967
C,F,1,33,4,IL,5,3230
C,F,1,34,4,OH,107,236196.11
C,F,1,34,4,IN,5,4653.75
C,F,1,34,4,WI,5,39833.2
C,F,1,34,4,MI,6,4516.05
C,F,1,34,4,IL,9,5999.5
C,F,1,35,4,OH,108,289938.19
C,F,1,35,4,IN,15,30119
C,F,1,35,4,WI,4,3340.5
C,F,1,35,4,MI,1,2550
C,F,1,35,4,IL,8,9686.5
C,F,1,36,4,OH,101,434260.76
C,F,1,36,4,IN,11,28182.5
C,F,1,36,4,WI,4,5214.75
C,F,1,36,4,MI,6,5499.5
C,F,1,36,4,IL,15,20013.25
C,F,1,37,4,OH,103,415512.58
C,F,1,37,4,IN,13,80440.6
C,F,1,37,4,WI,6,3765.5
C,F,1,37,4,MI,4,11569.35
C,F,1,37,4,IL,11,8963.4
C,F,1,38,4,OH,114,227032.5
C,F,1,38,4,IN,8,13336.5
C,F,1,38,4,WI,6,9524.7
C,F,1,38,4,MI,4,3333.3
C,F,1,38,4,IL,9,7029.5
C,F,1,39,4,OH,100,299509.55
C,F,1,39,4,IN,8,15597.5
C,F,1,39,4,WI,2,1141.55
C,F,1,39,4,MI,8,11729.97
C,F,1,39,4,IL,10,11228.16
C,F,1,40,4,OH,82,199325.05
C,F,1,40,4,IN,7,18282
C,F,1,40,4,WI,1,722.5
C,F,1,40,4,MI,5,5590.45
C,F,1,40,4,IL,7,15431.2
C,F,1,41,5,OH,97,179063.94
C,F,1,41,5,IN,2,2535
C,F,1,41,5,WI,5,44955.6
C,F,1,41,5,MI,4,11186.4
C,F,1,41,5,IL,5,4200
C,F,1,42,5,OH,56,118898.55
C,F,1,42,5,IN,9,11920
C,F,1,42,5,WI,3,7395
C,F,1,42,5,MI,3,1657.5
C,F,1,42,5,IL,11,13995.85
C,F,1,43,5,OH,60,143332.35
C,F,1,43,5,IN,3,5355
C,F,1,43,5,WI,1,467.5
C,F,1,43,5,MI,1,5100
C,F,1,43,5,IL,8,3777.45
C,F,1,44,5,OH,58,100434.15
C,F,1,44,5,IN,3,9180
C,F,1,44,5,WI,0,0
C,F,1,44,5,MI,0,0
C,F,1,44,5,IL,4,3544.5
C,F,1,45,5,OH,40,67437.81
C,F,1,45,5,IN,5,6281.5
C,F,1,45,5,WI,0,0
C,F,1,45,5,MI,3,1615
C,F,1,45,5,IL,9,7899.05
C,F,1,46,5,OH,66,234874.05
C,F,1,46,5,IN,0,0
C,F,1,46,5,WI,3,5131.45
C,F,1,46,5,MI,5,4676.7
C,F,1,46,5,IL,1,442
C,F,1,47,5,OH,80,190819.75
C,F,1,47,5,IN,2,1615
C,F,1,47,5,WI,2,2040
C,F,1,47,5,MI,7,7899.05
C,F,1,47,5,IL,12,23907.95
C,F,1,48,5,OH,63,108179.2
C,F,1,48,5,IN,0,0
C,F,1,48,5,WI,0,0
C,F,1,48,5,MI,2,3374.5
C,F,1,48,5,IL,2,3513.05
C,F,1,49,5,OH,41,87266.15
C,F,1,49,5,IN,0,0
C,F,1,49,5,WI,1,3527.5
C,F,1,49,5,MI,2,1139
C,F,1,49,5,IL,0,0
C,F,1,50,5,OH,29,61551.48
C,F,1,50,5,IN,0,0
C,F,1,50,5,MI,2,13557.5
C,F,1,50,5,IL,0,0
C,F,1,51,6,OH,20,23905.85
C,F,1,51,6,IN,1,1742.5
C,F,1,51,6,WI,1,680
C,F,1,51,6,MI,0,0
C,F,1,51,6,IL,1,765
C,F,1,52,6,OH,32,46982.55
C,F,1,52,6,IN,2,60137.5
C,F,1,52,6,WI,1,484.5
C,F,1,52,6,MI,1,595
C,F,1,52,6,IL,4,2448
C,F,1,53,6,OH,22,37769.75
C,F,1,53,6,IN,2,3046.25
C,F,1,53,6,WI,0,0
C,F,1,53,6,IL,1,425
C,F,1,54,6,OH,24,58675.5
C,F,1,54,6,IN,0,0
C,F,1,54,6,MI,2,1402.5
C,F,1,54,6,IL,0,0
C,F,1,55,6,OH,15,34567.8
C,F,1,55,6,IN,4,5865
C,F,1,55,6,WI,1,1028.5
C,F,1,55,6,IL,0,0
C,F,1,56,6,OH,15,25244.15
C,F,1,56,6,IN,0,0
C,F,1,56,6,MI,0,0
C,F,1,56,6,IL,0,0
C,F,1,57,6,OH,11,9150.25
C,F,1,57,6,IN,1,680
C,F,1,57,6,WI,0,0
C,F,1,57,6,MI,0,0
C,F,1,57,6,IL,3,4250
C,F,1,58,6,OH,17,81148.6
C,F,1,58,6,IN,0,0
C,F,1,58,6,MI,1,864.5
C,F,1,59,6,OH,8,8186.35
C,F,1,59,6,IN,0,0
C,F,1,60,6,OH,21,36124.9
C,F,1,60,6,IN,0,0
C,F,1,61,7,OH,9,10187.25
C,F,1,61,7,IN,0,0
C,F,1,61,7,MI,1,977.5
C,F,1,61,7,IL,0,0
C,F,1,62,7,OH,9,74631.5
C,F,1,62,7,MI,0,0
C,F,1,63,7,OH,5,6678.45
C,F,1,63,7,IN,4,148563
C,F,1,64,7,OH,0,0
C,F,1,64,7,WI,0,0
C,F,1,65,7,OH,2,3400
C,F,1,65,7,IN,1,680
C,F,1,66,7,OH,2,2329
C,F,1,67,7,OH,0,0
C,F,1,68,7,OH,0,0
C,F,1,70,7,OH,0,0
C,F,1,70,7,IL,0,0
C,F,2,18,1,OH,3,37069.35
C,F,2,19,1,OH,0,0
C,F,2,20,1,OH,6,4453.15
C,F,2,20,1,IN,0,0
C,F,2,20,1,WI,1,5950
C,F,2,20,1,MI,1,807.5
C,F,2,21,2,OH,6,7112.8
C,F,2,21,2,IN,0,0
C,F,2,21,2,IL,1,1870
C,F,2,22,2,OH,3,6728.33
C,F,2,22,2,IN,0,0
C,F,2,22,2,MI,0,0
C,F,2,22,2,IL,0,0
C,F,2,23,2,OH,20,26478.8
C,F,2,23,2,IN,4,2779.5
C,F,2,23,2,MI,1,790.5
